account,filename,bytes,sha256,classification,repository_target
A,01-full5677-generation-shard0of4-t4x2-v1 (1).ipynb,57745,5ad9cdcdc90e567468549402a3847ad429448bd716ee3ba6fdbec0c9922cd475,already_represented_in_repo,notebooks/06_final_full5677_generation/01-full5677-generation-shard0of4-t4x2-v1.ipynb
A,01-w0a-complete-mid30-and-pure-structural-t4x2-v1.xpynb,0,,zero_byte_placeholder,
A,01-w0a-resume-only-missing-dirhf-t4x2-v2 (1).ipynb,60991,972aff9aeeb1344ad49d33696b3bcb7d13f9bae843a2bfc31a3e3dab168a64d0,already_represented_in_repo,notebooks/02_structural_spectral_and_guidance_search/01-w0a-resume-only-missing-dirhf-t4x2-v2.ipynb
A,09-combined-metric-resume-accounta-t4x2-v1.xpynb,0,,zero_byte_placeholder,
A,09-combined-metric-resume-accounta-t4x2-v2-clipfix (1).ipynb,45261,c3f49bdd6e5bbd9d3c3e8da3c70288568afe4594eb23ef2246139cadee07d853,already_represented_in_repo,notebooks/07_final_full5677_metrics/09-combined-metric-resume-accounta-t4x2-v2-clipfix.ipynb
A,benchmark-reproduction.xpynb,0,,zero_byte_placeholder,
A,combined-model-geometric-edit (1).ipynb,57650,80fb2561ca6216a1c4fb2b8daa332470995c34a99aef7ef0bcac33979dd05cc9,already_represented_in_repo,notebooks/01_discovery_and_pathway_studies/combined-model-geometric-edit.ipynb
A,fork-of-09-combined-metric-resume-accounta-t4x2-v2 (1).ipynb,55784,af82aec0eb7f5bd715dc0fbc80c314664a0b557a4e3a81546ed6a197c07b3201,already_represented_in_repo,notebooks/07_final_full5677_metrics/fork-of-09-combined-metric-resume-accounta-t4x2-v2.ipynb
A,fork-of-freefine-phase2run-corrected.xpynb,0,,zero_byte_placeholder,
A,freefine (2).ipynb,2034493,9e8024f84f41add26eafc396990e125d823565e2cbaea37c1edfb068beb01357,recovered_add_output_pruned_copy,archive/noncanonical/freefine-early-setup-demo-output-pruned.ipynb
A,freefine-final-exhaustive-run-account-a-structu (1).ipynb,70462,9575e4b24dbed5c411c9081700f499e5541dc795322b8e50c436139c101334a7,already_represented_in_repo,notebooks/02_structural_spectral_and_guidance_search/freefine-final-exhaustive-run-account-a-structu.ipynb
A,freefine-final-geometry-qualitative-comparison-no.ipynb,34787726,f8d3864da15528275bd834bce3ce8fe8ac055900a2309f33f1947fc8b0d8bf15,recovered_add_output_pruned_copy,notebooks/08_final_qualitative/freefine-final-geometry-qualitative-comparison-no-output-pruned.ipynb
A,freefine-final-geometry-step0-geobench-audit-no-gp.xpynb,0,,zero_byte_placeholder,
A,freefine-final-geometry-step1-deployable-router-pr (1).ipynb,38992,d4a014ade4a4a91269c3125558a0d78e5319963ec376fbd5f96c40022eb6d5e5,already_represented_in_repo,notebooks/05_final_router_selection/freefine-final-geometry-step1-deployable-router-pr(1).ipynb
A,freefine-mask-sanity-check.xpynb,0,,zero_byte_placeholder,
A,freefine-more.xpynb,0,,zero_byte_placeholder,
A,freefine-phase2-gen.xpynb,0,,zero_byte_placeholder,
A,freefine-phase2run-corrected.ipynb,49371,0858a24f7f9baa0aa9f89e97406cd5171aa70f28651bc7a002138dead83f8f8b,recovered_add_to_repo,notebooks/00_reproduction_diagnosis_and_june_ablation/freefine-phase2run-corrected.ipynb
A,freefine-phase2run.ipynb,47244,fbba1336afc3930c75dbd934959b0a4caa338bb1b4fa770d598aceef7456826f,recovered_add_to_repo,archive/noncanonical/freefine-phase2run.ipynb
A,ip-pathway-study (1).ipynb,58273,55148d07c99f85a4accea903530fac3fa01e0c7c4d73ba7b9bdd0e1266664988,already_represented_in_repo,notebooks/01_discovery_and_pathway_studies/ip-pathway-study.ipynb
A,m-hff-feature-discovery.ipynb,71666,d351472d67bb7fc8abc91794e86014616ea26f25da6f38ca799de777497e2a13,recovered_add_to_repo,notebooks/01_discovery_and_pathway_studies/m-hff-feature-discovery.ipynb
A,notebook231361e119.xpynb,0,,zero_byte_placeholder,
A,notebook5eb20939b8.xpynb,0,,zero_byte_placeholder,
A,notebook87ee81ca07.ipynb,2304,418663053c8ef6fef173388e73f0ab85b9b2250183ec0a56a9d5d5d4abb212bb,recovered_add_to_repo,archive/utilities/notebook87ee81ca07.ipynb
A,notebookcd3e32524e.xpynb,0,,zero_byte_placeholder,
A,phase-1-diagnostics.xpynb,0,,zero_byte_placeholder,
A,phase1-per-group-fid-dino-kd-bgc-subc-we.ipynb,23529,3a42da01c2cce35e10a490c0691ab9bf6a1b432aea1239842098bf2510f0cda6,recovered_add_to_repo,notebooks/00_reproduction_diagnosis_and_june_ablation/phase1-per-group-fid-dino-kd-bgc-subc-we.ipynb
A,real-hog-ip-pathway-study.xpynb,0,,zero_byte_placeholder,
A,w2a-main-structural-shard1of2-t4x2-v2 (1).ipynb,42853,1c115b679ef5fa71949ba44581bfc4cc97ecdc52d23875e4605b9ed977608dad,already_represented_in_repo,notebooks/04_exhaustive_fid_metrics/w2a-main-structural-shard1of2-t4x2-v2.ipynb
A,w2a-main-structural-shard2of2-t4x2-v2 (1).ipynb,42963,f426e37374bef69f08ccb19d39a24076521fbe52b27b1cf2fe7ee941cd16950b,already_represented_in_repo,notebooks/04_exhaustive_fid_metrics/w2a-main-structural-shard2of2-t4x2-v2.ipynb
A,w2a-merge-no-gpu-v3.xpynb,0,,zero_byte_placeholder,
A,w2c-difficulty-structural-shard2of3-t4x2-v2 (1).ipynb,54376,ef05c0f378f75b7ef8628586e221ec9cce3d438971da9695ae6395a573fd3f0f,already_represented_in_repo,notebooks/04_exhaustive_fid_metrics/w2c-difficulty-structural-shard2of3-t4x2-v2.ipynb
A,w2c-merge-no-gpu-v3.xpynb,0,,zero_byte_placeholder,
A,w2d-difficulty-guidancepost-shard4of4-t4x2-v2 (1).ipynb,63472,9ea9533eac824bf6ba5388a748512a075619b10349a47864c6920e6d8648b0da,already_represented_in_repo,notebooks/04_exhaustive_fid_metrics/w2d-difficulty-guidancepost-shard4of4-t4x2-v2.ipynb
A,w2d-difficulty-guidancepost-shard4of4-t4x2-v2 (2).ipynb,63472,9ea9533eac824bf6ba5388a748512a075619b10349a47864c6920e6d8648b0da,duplicate_of_A:w2d-difficulty-guidancepost-shard4of4-t4x2-v2 (1).ipynb,notebooks/04_exhaustive_fid_metrics/w2d-difficulty-guidancepost-shard4of4-t4x2-v2.ipynb
A,w2d-merge-no-gpu-v3.xpynb,0,,zero_byte_placeholder,
B,01-full5677-generation-shard1of4-t4x2-v1.ipynb,57743,70efc23d853efbcc9b3086687d31bde49e78163c38ff6bf0d26b907afc06dfa3,already_represented_in_repo,notebooks/06_final_full5677_generation/01-full5677-generation-shard1of4-t4x2-v1.ipynb
B,02-w0b-complete-pres03-and-guidance-gaps-t4x2-v1.ipynb,68330,8b0b1eb3c3e6fe90c4b1ae6fc60587543cde38380a7c4708f47e017a6fbefbb3,already_represented_in_repo,notebooks/02_structural_spectral_and_guidance_search/02-w0b-complete-pres03-and-guidance-gaps-t4x2-v1.ipynb
B,05-full5677-metrics-freefine-baseline-t4x2-v1.xpynb,0,,zero_byte_placeholder,
B,approach-1-ip-controlnet.ipynb,66910,5a157a001942501968a30f94c58472755ebccbf266d2a965cac28946ada08fbe,already_represented_in_repo,notebooks/01_discovery_and_pathway_studies/approach-1-ip-controlnet.ipynb
B,combined-model-geometric-held-out-200.ipynb,60632,1594417280635d5d5fdf6a0cf5ae75e8e0166f500ff9fbad6e72184373dc99a1,already_represented_in_repo,notebooks/01_discovery_and_pathway_studies/combined-model-geometric-held-out-200.ipynb
B,experiments-phase-b2.ipynb,62171,5d5a53bcdff84e7bf0574dd0c7be594b546495490049a5dfffb0e79943539864,recovered_add_to_repo,notebooks/00_reproduction_diagnosis_and_june_ablation/experiments-phase-b2.ipynb
B,experiments-phase-b3.ipynb,73770,13e87fd7b9db1544fda9f34ec9b2d60be2340bbd901d9a486ea82f77fafc1afa,recovered_add_to_repo,notebooks/00_reproduction_diagnosis_and_june_ablation/experiments-phase-b3.ipynb
