file,status,code_cells,executed_code_cells,error_outputs,output_chars,sha256,description
01-full5677-generation-shard0of4-t4x2-v1.ipynb,complete,7,7,0,9037,5ad9cdcdc90e567468549402a3847ad429448bd716ee3ba6fdbec0c9922cd475,"FreeFine Final Geometry — FULL 5,677 Generation · Shard 0/4

This is a **fresh final run**, not a reconstruction from old experimental outputs.

It produces three shard-local result sets:
- `baseline`: fresh original FreeFine
- `SGR_EPSREC`: Move→RING4, Rotate→baseline, Resize non-severe→RING8, Resize severe→EPSREC+prompt
- `SGR_MIDHF_EPSREC`: same common branches, severe resize→MIDHF+EPSREC+prompt"
01-full5677-generation-shard1of4-t4x2-v1.ipynb,complete,7,7,0,9037,70efc23d853efbcc9b3086687d31bde49e78163c38ff6bf0d26b907afc06dfa3,"FreeFine Final Geometry — FULL 5,677 Generation · Shard 1/4

This is a **fresh final run**, not a reconstruction from old experimental outputs.

It produces three shard-local result sets:
- `baseline`: fresh original FreeFine
- `SGR_EPSREC`: Move→RING4, Rotate→baseline, Resize non-severe→RING8, Resize severe→EPSREC+prompt
- `SGR_MIDHF_EPSREC`: same common branches, severe resize→MIDHF+EPSREC+prompt"
01-full5677-generation-shard2of4-t4x2-v1.ipynb,complete,7,7,0,9038,3cbd31a70d51993c746a3b8f3920c081d6eabdb14f8c67346a63c54214fcc933,"FreeFine Final Geometry — FULL 5,677 Generation · Shard 2/4

This is a **fresh final run**, not a reconstruction from old experimental outputs.

It produces three shard-local result sets:
- `baseline`: fresh original FreeFine
- `SGR_EPSREC`: Move→RING4, Rotate→baseline, Resize non-severe→RING8, Resize severe→EPSREC+prompt
- `SGR_MIDHF_EPSREC`: same common branches, severe resize→MIDHF+EPSREC+prompt"
01-full5677-generation-shard3of4-t4x2-v1.ipynb,complete,7,7,0,9036,8114c167c407e0f0c1abae2a2eb3907225ee6acb0ac5b53382c9eca6cdc0b1ad,"FreeFine Final Geometry — FULL 5,677 Generation · Shard 3/4

This is a **fresh final run**, not a reconstruction from old experimental outputs.

It produces three shard-local result sets:
- `baseline`: fresh original FreeFine
- `SGR_EPSREC`: Move→RING4, Rotate→baseline, Resize non-severe→RING8, Resize severe→EPSREC+prompt
- `SGR_MIDHF_EPSREC`: same common branches, severe resize→MIDHF+EPSREC+prompt"
01-w0a-complete-mid30-and-pure-structural-t4x2-v1.ipynb,partial_then_completed_by_resume,11,11,1,15697,dbbabca610099ccaa85ee682b8944830d21239b28452466d4d6732e6f7542465,"FreeFine — 4-Account Final Pack — Wave 0A
 Complete MID30 + pure structural ablations
Run on T4×2. Attach the original GeoBench inputs and the saved output of Account A v3."
01-w0a-resume-only-missing-dirhf-t4x2-v2.ipynb,complete,11,11,0,15543,972aff9aeeb1344ad49d33696b3bcb7d13f9bae843a2bfc31a3e3dab168a64d0,"FreeFine — Wave 0A Resume v2
 Resume ONLY the missing DIRHF30_PURE_ALL images (189 → 200)
Run on T4×2. Attach: (1) the same original GeoBench inputs, and (2) the saved output of your completed Wave-0A run that contains DIRHF30_PURE_ALL=189/200."
02-w0b-complete-pres03-and-guidance-gaps-t4x2-v1.ipynb,complete,12,12,0,15869,8b0b1eb3c3e6fe90c4b1ae6fc60587543cde38380a7c4708f47e017a6fbefbb3,"FreeFine — 4-Account Final Pack — Wave 0B
 Complete PRES03 + pure guidance/combo ablations
Run on T4×2. Attach the original GeoBench inputs and the saved output of Account B v3."
05-full5677-metrics-freefine-baseline-t4x2-v1.ipynb,partial_metric_run_superseded_by_combined_resume,5,5,0,8115,d862b1f10480e6fbe70616a20dadeedd10027f2dd0536bd7fb8a72cdbd0c4a5d,"FreeFine Final Geometry — Full 5,677 Metrics: FREEFINE_BASELINE

Attach:
1. the **four completed generation-shard notebook outputs**,
2. `freefine-sample-metadata`,
3. `geobench2d-coarse-img`,
4. `geobench2d-metrics-subset`."
06-full5677-metrics-sgr-epsrec-t4x2-v1.ipynb,partial_metric_run_superseded_by_combined_resume,5,5,0,8117,1ef1cc9be0ece1ad148727207051b9080518f5a7dc82d5f3b9ff46b1b9cdd33c,"FreeFine Final Geometry — Full 5,677 Metrics: SGR_EPSREC

Attach:
1. the **four completed generation-shard notebook outputs**,
2. `freefine-sample-metadata`,
3. `geobench2d-coarse-img`,
4. `geobench2d-metrics-subset`."
07-full5677-metrics-sgr-midhf-epsrec-t4x2-v1.ipynb,partial_metric_run_superseded_by_combined_resume,5,5,0,8147,5166fd576afdd5206d349fdde4e709434eb974e97c59a6249a661008e53161df,"FreeFine Final Geometry — Full 5,677 Metrics: SGR_MIDHF_EPSREC

Attach:
1. the **four completed generation-shard notebook outputs**,
2. `freefine-sample-metadata`,
3. `geobench2d-coarse-img`,
4. `geobench2d-metrics-subset`."
09-combined-metric-resume-accounta-t4x2-v2-clipfix.ipynb,partial_then_completed_by_final_fork,7,7,0,12497,c3f49bdd6e5bbd9d3c3e8da3c70288568afe4594eb23ef2246139cadee07d853,"FreeFine Final Geometry — Combined Metric Resume on Account A (T4×2)

Use this **instead of rerunning the three separate metric notebooks**.

**v2 fix:** serially preloads the official OpenAI CLIP ViT-B/32 checkpoint before the two GPU workers start, and applies a targeted PyTorch 2.6 compatibility fix to OpenAI CLIP's trusted checkpoint fallback loader. This avoids the concurrent first-download/cache race observed in v1.

It resumes the three existing partial evaluations and computes only the unique missing work."
FreeFine_Account_A_Final_Structural_Spectral_T4x2_v3(1).ipynb,source_only_not_executed,11,0,0,0,f98e3f8ee2e4b8e8e342752df7c10c02ce0dec9901a7e5fafd570133ed9d706f,"FreeFine Final Exhaustive Run — Account A (Structural / Spectral) — v2

**Goal:** finish the structural side of the 2D geometric-editing search. Every generated model is run on the **same historical balanced-200** (67 move / 66 rotate / 67 resize), then scored task-by-task.

This notebook intentionally includes conservative and high-risk arms:
- R1 reference
- HF30 and FULL30
- MID and MID+HF bands"
approach-1-ip-controlnet.ipynb,complete,15,15,0,19567,bf4109a256be8b542cba861facfc0593057e23ed6789a600aa11c45c6374674b,"Cell 8 — IP-A (%%writefile on line 1, then the full module — this is ip_ff.py with the geometry builders):"
benchmark-reproduction.ipynb,complete_phase0_generation_with_partial_inline_metrics,68,61,4,390859,58763211ce2f1cc1011bc5dc6b4724c56d0ddc12a3d661c76d4b2cd050c59692,"Phase 0 faithful full-set FreeFine reproduction. Generated all 5,677 GeoBench-2D edits and retained the original execution record; remaining FID_DINO/FID_KD/MD work is completed by the companion Phase-0 metric notebook. Public archival copy: one expired Hugging Face token was redacted from a saved notebook output; experimental code/results are otherwise preserved."
combined-model-geometric-edit.ipynb,complete,12,12,0,21013,80fb2561ca6216a1c4fb2b8daa332470995c34a99aef7ef0bcac33979dd05cc9,Cell 1 — C1
combined-model-geometric-held-out-200.ipynb,complete,13,13,0,21155,1594417280635d5d5fdf6a0cf5ae75e8e0166f500ff9fbad6e72184373dc99a1,Cell 1 — C1
experiments-phase-b2.ipynb,complete,13,13,0,18930,5d5a53bcdff84e7bf0574dd0c7be594b546495490049a5dfffb0e79943539864,"B2 IP-Adapter identity-conditioning sweep on balanced-200: ip50, ip80, ip110 and ip140."
experiments-phase-b3.ipynb,complete,15,15,0,20204,13e87fd7b9db1544fda9f34ec9b2d60be2340bbd901d9a486ea82f77fafc1afa,"B3 geometry-aligned TCA study on balanced-200: correspondence-bias, warped-K/V, validity-gating and R²-TCA variants."
experiments-phase-b4.ipynb,complete,16,16,0,19354,05df52fd1df22919f4a9dfb5cf8e6ad4c7a73eb576b1989ca66bdc056599d6e4,"B4 refinement-preservation sweep on balanced-200: pres_w03, pres_w05, pres_w07 and pres_w09."
experiments-phase.ipynb,complete,11,11,0,20713,8683ba8d40b61ff8a3f316e649dad7993b3f1651fc8882e1c34c94a83aac0952,"B1 AA-Warp + Adaptive end_scale study on balanced-200: aaw, es25, es50, esA and aaw_esA."
fork-of-09-combined-metric-resume-accounta-t4x2-v2.ipynb,complete_final_metric_table,7,7,0,14341,af82aec0eb7f5bd715dc0fbc80c314664a0b557a4e3a81546ed6a197c07b3201,"FreeFine Final Geometry — Combined Metric Resume on Account A (T4×2)

Use this **instead of rerunning the three separate metric notebooks**.

**v2 fix:** serially preloads the official OpenAI CLIP ViT-B/32 checkpoint before the two GPU workers start, and applies a targeted PyTorch 2.6 compatibility fix to OpenAI CLIP's trusted checkpoint fallback loader. This avoids the concurrent first-download/cache race observed in v1.

It resumes the three existing partial evaluations and computes only the unique missing work."
freefine-account-b2-v3-apg-parameterization-m.ipynb,complete,12,12,0,22598,c20df012c7b20f3a351e4434d0c1223dccef13707cabf83692358e05013c1bfb,Account B APG/EPSREC parameterization and momentum-matching study; fixes mask-shape and timestep-scale confounds.
freefine-early-setup-demo-output-pruned.ipynb,historical_exploratory_output_pruned,39,38,0,0,4e7c54468a824238b9fc0576a0636de82005876ca3573e8496991aa0ad9006a0,Output-pruned archival copy of an early Account-A FreeFine environment/setup/demo notebook. Original executed Kaggle SHA256: 9e8024f84f41add26eafc396990e125d823565e2cbaea37c1edfb068beb01357.
freefine-final-exhaustive-run-account-a-structu.ipynb,complete,11,11,0,18955,9575e4b24dbed5c411c9081700f499e5541dc795322b8e50c436139c101334a7,"FreeFine Final Exhaustive Run — Account A (Structural / Spectral) — v2

**Goal:** finish the structural side of the 2D geometric-editing search. Every generated model is run on the **same historical balanced-200** (67 move / 66 rotate / 67 resize), then scored task-by-task.

This notebook intentionally includes conservative and high-risk arms:
- R1 reference
- HF30 and FULL30
- MID and MID+HF bands"
freefine-final-exhaustive-run-account-b-guidan.ipynb,partial_then_completed_by_w0b,12,12,0,19693,2b41581d865a1e1d56f943dd0d002134be78e940e0152bcd1abd17eee6084528,Account B final exhaustive guidance/move/combinations run. Produces the predecessor outputs later resumed by Wave 0B; PRES03_GLOBAL ended at 179/200 before completion.
freefine-final-geometry-qualitative-comparison-no-output-pruned.ipynb,complete_output_pruned_archive_copy,7,7,0,0,ba54250f5eb5a877f652601a9bab71d75fcc4307894eba1e569551a17e2d4e64,Output-pruned repository copy of the executed final qualitative comparison notebook. Code/execution metadata/text outputs retained; embedded image payloads removed. Original executed Kaggle SHA256: f8d3864da15528275bd834bce3ce8fe8ac055900a2309f33f1947fc8b0d8bf15.
freefine-final-geometry-step0-geobench-audit-no-gp (1).ipynb,complete_corrected_exact_affine_audit,4,4,0,4520,5c8d36b99c4947367258f3aa263b642500d25c9ab87d636a17f598c08951747b,"FreeFine Final Geometry — Step 0 v2: Exact GeoBench Affine Audit

**Correction to v1.** The `sample_metadata.csv::scale_change` field belongs to the thesis diagnostic metadata and is **not** the raw resize factor used by FreeFine. Likewise, its `difficulty` field is the thesis diagnostic stratification, not the paper's original easy/medium/hard instruction label. Therefore v1 correctly stopped with `AUDIT STATUS: FAIL`, and its router config must not be used.

This v2 reads the **exact `edit_param` used by the official FreeFine inference pipeline**. In the official code the tuple is unpacked as
`dx, dy, dz, rx, ry, rz, sx, sy, sz = edit_param`, with `(sx, sy)` used directly as the resize scale.

No model inference. No GPU. No metric tuning."
freefine-final-geometry-step0-geobench-audit-no-gp.ipynb,failed_superseded_by_corrected_v2,4,3,1,2722,bfdc96edf51124c6a51d7cb2c67774403e52bb8fc2f71ed8ae6a0bcfd692ea3c,"FreeFine Final Geometry — Step 0: GeoBench-2D Audit & Router Freeze

**Purpose:** before the full 5,677-sample end-to-end final runs, verify the exact GeoBench-2D population and derive/validate a deployable resize-severity rule from the requested geometric transform (not from oracle benchmark labels).

This notebook performs **no model inference and needs no GPU**. It does not tune on generated-image metrics.

Expected GeoBench-2D population used in the thesis reproduction: **5,677 edits = 1,439 move + 1,603 rotate + 2,635 resize**."
freefine-final-geometry-step1-deployable-router-pr(1).ipynb,complete,7,7,0,13968,d4a014ade4a4a91269c3125558a0d78e5319963ec376fbd5f96c40022eb6d5e5,"FreeFine Final Geometry — Step 1: Deployable Router Preflight (balanced-200)

This is a **cheap preflight only**, not the final benchmark evaluation. It uses the already-generated balanced-200 outputs to verify that the newly frozen **exact-affine** resize rule behaves sensibly before spending GPU quota on the full 5,677 end-to-end run.

Important methodological point: the earlier `resize_hard` gains were measured on the thesis diagnostic tertile. Step 0 v2 showed that this diagnostic label is not identical to the deployable affine severity rule. Therefore we must evaluate the **actual final routing rule once** before the expensive full run.

No image generation is performed here. The notebook reconstructs the two proposed pipelines from already-generated outputs and runs the official 7 metrics on the standard balanced-200 development set."
freefine-phase2run-corrected.ipynb,complete,10,10,0,22427,0858a24f7f9baa0aa9f89e97406cd5171aa70f28651bc7a002138dead83f8f8b,"Phase 2/2b controllability sweep on balanced-200: start_step, start_layer and prompt-CFG variants including ss25/30/40/45, l4/8/12 and p7.5/p10."
freefine-phase2run.ipynb,superseded_by_corrected_phase2run,11,11,0,18998,fbba1336afc3930c75dbd934959b0a4caa338bb1b4fa770d598aceef7456826f,Historical uncorrected predecessor of the Phase 2 controllability sweep; retained only for provenance.
guidance-discovery.ipynb,complete,11,11,0,18114,ccb5ae544c1e9c11b6c70450ddfcefdcfcac155adc678964d641430bdd31a92c,"FreeFine Discovery Run — Account B (Guidance/Dynamics) — v2

**Robust patch revision:** CFG/APG/FDG insertion now matches the semantic `forward_sampling` CFG block independently of upstream indentation."
ip-pathway-study.ipynb,complete,12,12,0,20124,9effd67bddebdf072c19210010f4ae189fe936e11ea5e4a8ca7f25df249844a9,"Cell 8 — IP-A (%%writefile on line 1, then the full module — this is ip_ff.py with the geometry builders):"
m-hff-feature-discovery.ipynb,complete,11,11,0,20204,d351472d67bb7fc8abc91794e86014616ea26f25da6f38ca799de777497e2a13,Account A M-HFF feature/frequency discovery study preceding the final structural/spectral exhaustive pack.
notebook87ee81ca07.ipynb,utility,1,1,0,315,418663053c8ef6fef173388e73f0ab85b9b2250183ec0a56a9d5d5d4abb212bb,Utility notebook used to download/cache GeoBench coarse images from GeoBenchMeta; not an experiment result.
phase0-md-fid-dino-fid-kd.ipynb,complete,7,7,0,202743,489b930be998af879e994b33b48336e69eb29622a9b499f37102c2c4c468a5fa,"Phase 0 supplemental full-set metrics: FID_DINO, FID_KD and sharded MD for the 5,677 reproduced outputs."
