model,group,SUBC_delta,BGC_delta,FID_DINO_delta,FID_KD_delta,FID_delta,WRAP_E_delta,MD_delta,metric_wins_vs_baseline,MD_pct_change
SGR_EPSREC,all_5677,0.0030999999999999917,9.999999999998899e-05,-0.46510000000000673,-0.001600000000000018,-0.2646000000000015,-0.018199999999999997,-0.32450000000000045,7,-3.816569439217168
SGR_EPSREC,move_1439,0.007299999999999973,0.00019999999999997797,0.835399999999936,-0.0021000000000000185,-0.12169999999999703,-0.0368,0.19019999999999992,5,5.0059218318199745
SGR_EPSREC,rotate_1603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
SGR_EPSREC,resize_2635,0.0026000000000000467,9.999999999998899e-05,0.9386999999999261,-0.001799999999999996,-0.15820000000000078,-0.019000000000000003,-0.4131,6,-4.14259927797834
SGR_EPSREC,resize_severe_759,0.00039999999999995595,0.0,0.23210000000005948,-0.0022999999999999965,-0.09830000000000183,0.0,-0.34280000000000044,4,-1.800325613150572
SGR_EPSREC,resize_nonsevere_1876,0.0034999999999999476,9.999999999998899e-05,0.7541999999999689,-0.001999999999999974,-0.1355000000000004,-0.0266,-0.038599999999999746,6,-0.5330534572521474
SGR_MIDHF_EPSREC,all_5677,0.0030999999999999917,9.999999999998899e-05,-0.4571000000000254,-0.001600000000000018,-0.2651000000000039,-0.018199999999999997,-0.3199000000000005,7,-3.762467068121948
SGR_MIDHF_EPSREC,move_1439,0.007299999999999973,0.00019999999999997797,0.835399999999936,-0.0021000000000000185,-0.12169999999999703,-0.0368,0.19019999999999992,5,5.0059218318199745
SGR_MIDHF_EPSREC,rotate_1603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
SGR_MIDHF_EPSREC,resize_2635,0.0026000000000000467,9.999999999998899e-05,0.9578000000000202,-0.001799999999999996,-0.15879999999999939,-0.019000000000000003,-0.4001999999999999,6,-4.013237063778579
SGR_MIDHF_EPSREC,resize_severe_759,0.00039999999999995595,0.0,0.2340000000000373,-0.0021999999999999936,-0.09669999999999845,0.0,-0.2566999999999986,4,-1.3481434798592438
SGR_MIDHF_EPSREC,resize_nonsevere_1876,0.0034999999999999476,9.999999999998899e-05,0.7541999999999689,-0.001999999999999974,-0.1355000000000004,-0.0266,-0.038599999999999746,6,-0.5330534572521474
