model,group,n,FID_DINO,FID_KD,FID,SUBC,BGC,WRAP_E,MD
FREEFINE_BASELINE,all_5677,5677,487.8231,0.1433,35.0439,0.9113,0.967,0.0474,8.5024
FREEFINE_BASELINE,move_1439,1439,580.8259,0.1269,47.397,0.9592,0.967,0.0489,3.7995
FREEFINE_BASELINE,rotate_1603,1603,588.7471,0.1423,47.5545,0.9008,0.9673,0.0433,10.469
FREEFINE_BASELINE,resize_2635,2635,531.2929,0.1399,40.8476,0.8916,0.9669,0.049,9.972
FREEFINE_BASELINE,resize_severe_759,759,624.0966,0.1175,60.8375,0.7991,0.9651,0.0581,19.041
FREEFINE_BASELINE,resize_nonsevere_1876,1876,579.8713,0.1357,45.6653,0.929,0.9676,0.0453,7.2413
SGR_EPSREC,all_5677,5677,487.358,0.1417,34.7793,0.9144,0.9671,0.0292,8.1779
SGR_EPSREC,move_1439,1439,581.6613,0.1248,47.2753,0.9665,0.9672,0.0121,3.9897
SGR_EPSREC,rotate_1603,1603,588.7471,0.1423,47.5545,0.9008,0.9673,0.0433,10.469
SGR_EPSREC,resize_2635,2635,532.2316,0.1381,40.6894,0.8942,0.967,0.03,9.5589
SGR_EPSREC,resize_severe_759,759,624.3287,0.1152,60.7392,0.7995,0.9651,0.0581,18.6982
SGR_EPSREC,resize_nonsevere_1876,1876,580.6255,0.1337,45.5298,0.9325,0.9677,0.0187,7.2027
SGR_MIDHF_EPSREC,all_5677,5677,487.366,0.1417,34.7788,0.9144,0.9671,0.0292,8.1825
SGR_MIDHF_EPSREC,move_1439,1439,581.6613,0.1248,47.2753,0.9665,0.9672,0.0121,3.9897
SGR_MIDHF_EPSREC,rotate_1603,1603,588.7471,0.1423,47.5545,0.9008,0.9673,0.0433,10.469
SGR_MIDHF_EPSREC,resize_2635,2635,532.2507,0.1381,40.6888,0.8942,0.967,0.03,9.5718
SGR_MIDHF_EPSREC,resize_severe_759,759,624.3306,0.1153,60.7408,0.7995,0.9651,0.0581,18.7843
SGR_MIDHF_EPSREC,resize_nonsevere_1876,1876,580.6255,0.1337,45.5298,0.9325,0.9677,0.0187,7.2027
